

Default Settings
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.15 |       0.38 |       0.12 |          0.07 |       0.35 |       0.41
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.40
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.20 |       0.27 |       0.07 |          0.04 |       0.19 |       0.30
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.61 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      0.95 |       0.95 |       0.95 |          0.93 |       1.00 |       0.97
      car |      0.60 |       1.00 |       0.67 |          0.62 |       0.87 |       0.98
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


No stemming
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.19 |       0.38 |       0.25 |          0.10 |       0.47 |       0.47
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.40
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.20 |       0.27 |       0.07 |          0.04 |       0.19 |       0.30
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.90 |       0.82 |       0.82 |          0.80 |       1.00 |       0.93
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.65 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      0.95 |       0.90 |       0.90 |          0.88 |       1.00 |       0.94
      car |      0.60 |       1.00 |       0.67 |          0.62 |       0.87 |       0.98
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


No stopping
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.15 |       0.38 |       0.12 |          0.07 |       0.35 |       0.41
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.40
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.20 |       0.27 |       0.07 |          0.04 |       0.19 |       0.30
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.61 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      0.95 |       0.95 |       0.95 |          0.93 |       1.00 |       0.97
      car |      0.60 |       1.00 |       0.67 |          0.62 |       0.87 |       0.98
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


No stemming or stopping
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.19 |       0.38 |       0.25 |          0.10 |       0.47 |       0.47
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.40
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.20 |       0.27 |       0.07 |          0.04 |       0.19 |       0.30
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.90 |       0.82 |       0.82 |          0.80 |       1.00 |       0.93
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.65 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      0.95 |       0.90 |       0.90 |          0.88 |       1.00 |       0.94
      car |      0.60 |       1.00 |       0.67 |          0.62 |       0.87 |       0.98
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


No vision results
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.17 |       0.25 |       0.25 |          0.09 |       0.44 |       0.44
    water |      0.30 |       0.50 |       0.25 |          0.15 |       0.37 |       0.51
      cup |      0.25 |       0.62 |       0.12 |          0.14 |       0.29 |       0.52
     food |      0.55 |       0.73 |       0.53 |          0.56 |       0.73 |       0.77
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.93 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.75 |       0.82 |       0.73 |          0.68 |       0.77 |       0.84
  flowers |      1.00 |       0.75 |       0.75 |          0.75 |       1.00 |       0.85
      car |      0.73 |       0.89 |       0.78 |          0.70 |       0.83 |       0.83
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


Google vision only
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.17 |       0.38 |       0.12 |          0.08 |       0.36 |       0.42
    water |      0.25 |       0.42 |       0.17 |          0.08 |       0.25 |       0.40
      cup |      0.30 |       0.75 |       0.25 |          0.20 |       0.40 |       0.62
     food |      0.30 |       0.40 |       0.27 |          0.09 |       0.25 |       0.39
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.65 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      1.00 |       0.95 |       0.95 |          0.95 |       1.00 |       0.97
      car |      0.69 |       1.00 |       0.67 |          0.63 |       0.87 |       0.99
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


MS vision only
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.19 |       0.38 |       0.25 |          0.10 |       0.47 |       0.47
    water |      0.30 |       0.50 |       0.33 |          0.17 |       0.41 |       0.51
      cup |      0.15 |       0.38 |       0.00 |          0.05 |       0.22 |       0.38
     food |      0.25 |       0.33 |       0.13 |          0.06 |       0.19 |       0.34
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.93 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.59 |       0.91 |       0.64 |          0.60 |       0.86 |       0.96
  flowers |      0.94 |       0.85 |       0.85 |          0.84 |       1.00 |       0.91
      car |      0.64 |       1.00 |       0.78 |          0.77 |       0.83 |       0.89
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


Vision confidence 20%
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.15 |       0.38 |       0.12 |          0.07 |       0.35 |       0.41
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.39
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.15 |       0.20 |       0.00 |          0.02 |       0.19 |       0.26
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
      dog |      0.61 |       1.00 |       0.64 |          0.67 |       0.86 |       1.00
  flowers |      0.95 |       0.95 |       0.95 |          0.93 |       1.00 |       0.97
      car |      0.56 |       1.00 |       0.56 |          0.54 |       0.69 |       0.86
    pepsi |      0.70 |       0.58 |       0.58 |          0.43 |       0.71 |       0.64
spiderman |      0.54 |       1.00 |       0.29 |          0.49 |       0.76 |       0.95


Vision confidence 40%
          | Precision |     Recall | RPrecision | Avg Precision |  nDCG @ 10 |  nDCG @ 20
    glass |      0.15 |       0.38 |       0.12 |          0.07 |       0.35 |       0.41
    water |      0.25 |       0.42 |       0.08 |          0.08 |       0.19 |       0.39
      cup |      0.15 |       0.38 |       0.12 |          0.07 |       0.30 |       0.41
     food |      0.15 |       0.20 |       0.07 |          0.02 |       0.19 |       0.26
 facebook |      0.10 |       0.50 |       0.25 |          0.11 |       0.52 |       0.60
      nba |      0.85 |       0.77 |       0.77 |          0.75 |       1.00 |       0.90
     nike |      0.87 |       0.76 |       0.76 |          0.76 |       1.00 |       0.86
 fortnite |      0.91 |       0.77 |       0.77 |          0.75 |       0.94 |       0.86
